Symbols,Healthy_1,Healthy_2,Healthy_3,Healthy_4,Healthy_5,Tumor_1,Tumor_2,Tumor_3,Tumor_4,Tumor_5,Tumor_6,Tumor_7,Tumor_8,Tumor_9,Tumor_10,Tumor_11,Tumor_12,Tumor_13,Tumor_14,Tumor_15
A1CF,3.740924795,3.635838717,3.679478114,3.464826022,3.693231636,3.654364882,3.459913689,3.096703998,3.512670877,3.634363139,3.315672695,3.97043719,3.662484179,3.570731279,3.284259125,3.231615779,3.118839162,3.812841392,3.596798654,3.527160911
A2M,10.90160977,11.18669953,11.21127695,10.97198263,10.11089195,9.889440494,11.25858107,11.62850705,11.22808753,10.2068544,9.960845403,10.33822062,10.82321252,11.4050018,10.72744705,10.48533501,10.00864293,10.15447798,10.79764496,10.78380155
A2ML1,4.462633159,4.356168641,4.486749675,4.860120668,4.414544124,4.173252145,4.165304349,3.912064713,5.644012687,4.003317613,4.107854828,5.313151811,7.866102786,3.998343259,4.464594835,4.126657831,9.017614077,6.375950255,4.486909254,4.296809599
A3GALT2,3.879827696,4.623179732,3.954523005,4.003341543,3.980420684,4.735095978,3.489270661,4.01179067,4.512024135,4.260226518,3.964629329,4.164735608,4.197719715,3.896868377,4.640620449,3.649593861,3.986450019,4.487736987,4.433561916,3.765442423
AAAS,7.584770186,7.907561763,7.557171594,7.735576412,7.517781581,8.177480337,8.174065623,8.450647125,8.196596829,7.645964322,8.629344584,7.781408853,7.205962203,8.536155603,9.082627264,9.497814428,8.515994551,7.873684988,8.182250046,7.97176815
AACS,6.536828684,6.843395024,8.143267554,6.9354022,7.054695402,8.16671804,6.973502974,7.17119661,7.015877625,7.048143885,7.563579316,6.56903008,7.237957635,7.309964847,6.93341894,8.317519149,7.584439833,7.075662839,7.776291207,6.695674471
AADACL3,3.597514393,3.708939473,3.739701761,5.007869364,3.966567459,4.220594627,3.47689863,3.329343361,3.392324037,3.513789926,3.173183495,3.798783019,3.701347425,3.609400762,4.594856524,3.930154347,3.444951005,4.226737004,4.348285464,3.957247289
AADACL4,3.875328061,4.16415244,3.878881183,4.162959399,3.681154331,3.66922155,3.305826247,3.068802356,3.382762157,3.953067878,3.314466701,3.721215023,3.621352472,3.578957433,3.594765694,3.183535157,3.376660163,3.980084235,4.437501532,3.937142171
AAGAB,7.607069111,7.425680505,8.124657138,7.649927477,7.970269225,8.815057806,8.316005181,7.803888059,7.443990219,7.783276237,8.742726338,7.58052883,7.632912932,7.954512219,8.497798284,8.257675554,7.719191846,6.747740123,7.767179967,8.200244071
AAMDC,7.121689305,6.616212885,5.309114274,6.878824478,5.961069196,5.634590567,5.928704275,6.051324377,5.500095552,6.636461388,6.038910162,6.090475076,6.215659945,5.720559409,6.020535525,7.640592319,6.211073187,5.879527462,5.889592472,5.516220611
