Gene,BRCA_1,BRCA_2,BRCA_3,Treated_1,Treated_2,Treated_3,Treated_4,Treated_5
Abca14,34,40,63,44,25,27,30,16
Abca16,1896,1809,2202,1630,1440,1368,1741,1927
Abca2,40,20,36,20,31,21,16,31
Abca3,165,127,187,261,104,112,120,190
Abca4,337,289,340,271,260,230,360,413
Abca8b,493,326,394,1170,1078,1061,573,551
Abca9,3659,3094,4295,3467,3211,3991,3165,3314
Abcb10,1030,1026,1228,975,857,810,840,809
Abcb1a,386,421,505,253,216,211,269,244
Abcb1b,2437,2317,2307,6096,2713,2615,2693,2407
Abcb4,4660,3693,4243,2422,2371,2059,4560,4650
Abcb7,1180,896,1051,733,716,593,963,1097
Abcb9,1181,987,1083,1472,1475,1388,1384,1401
Abcc1,980,864,958,1835,1698,1573,1430,1446
Abcc12,987,767,1097,198,151,198,276,207
Abcc2,1580,1399,1663,1539,1467,1396,1317,1615
Abcc3,541,495,574,696,735,621,550,478
Abcc4,5,3,1,3,3,4,2,1
Abcc5,2,6,12,3,4,6,12,13
Abcc8,291,211,246,311,312,327,264,232
Abcc9,1846,2034,2153,1978,2043,2279,2528,2369
Abcd4,315,331,379,175,174,174,256,224
Abce1,2291,1962,2355,2132,2123,1835,2495,2799
Abcf1,1025,1066,1128,1070,1051,1015,1032,1081
Abcf3,1730,1944,2346,1238,1113,1190,1370,1009
Abcg1,2910,2876,3045,2938,2737,2735,3160,3089
Abcg2,15580,17134,19612,5597,5004,6061,7702,6281
Abcg3,1396,1509,1684,1569,1727,1514,1643,1537
Abhd1,31,26,27,41,32,54,31,8
Abhd10,4123,4538,4836,7809,4569,4108,4119,3821
Abhd13,2114,2005,2355,1808,1734,1678,1992,1931
Abhd14a,2851,2735,2914,3828,4031,3488,4129,4558
Abhd14b,63,31,46,55,41,39,55,70
Abhd16b,5,4,3,6,1,2,1,5
Abhd17a,218,134,155,109,99,112,141,170
Abhd17b,1426,1079,1346,1166,1070,1061,1205,1410
Abhd3,1002,662,804,756,631,604,891,892
Abhd6,1224,1194,1235,1792,1851,2096,1781,1692
Abi1,283,234,307,589,743,674,384,491
Abi2,58,21,28,97,105,102,35,69
Abi3,8721,10892,12196,8119,8364,9281,8844,8364
Ablim2,191,205,208,132,175,134,301,278
Abracl,3,1,5,8,6,1,8,6
Abt1,3149,3258,3488,3701,3836,3501,3095,3293
Abtb2,2270,2338,2503,2122,1928,2081,2246,2140
Acaa2,99,92,77,101,151,157,119,189
Acaca,80,67,95,33,33,27,40,49
Acad10,2263,3020,3137,2202,1957,2062,2866,2264
Acad8,8,1,0,2,4,2,3,3
Acad9,104,62,61,169,163,138,165,219
Acadl,1183,1492,1536,872,930,892,1347,1217
Acads,1766,1590,1981,1769,1790,1749,1678,1697
Acadvl,364,668,600,662,613,563,649,621
Acap2,1358,1271,1287,1365,1242,1506,1225,1104
Acat1,1389,4211,4413,4501,5192,5120,2031,1748
Acat2,64,45,65,34,44,50,25,22
Acbd3,2263,2522,2674,2589,2497,2904,2518,2345
Acbd6,23,18,19,20,25,22,22,26
Accs,8,8,9,11,8,12,15,11
Acd,13,22,29,26,48,62,7,14
Ace2,22,11,20,8,4,3,14,17
Acer2,223,305,322,291,311,340,229,236
Acer3,3818,3563,4005,3210,2864,2715,3398,3313
Ackr1,493,559,450,495,591,655,581,663
Ackr2,716,620,688,624,570,584,760,759
Ackr3,132,73,118,92,88,59,161,178
Acly,0,1,2,0,1,5,6,2
Acmsd,2744,2538,3218,2980,2794,2696,2908,2853
Aco2,15,13,13,8,15,9,21,22
Acot11,1816,1950,2015,2292,1972,2111,2539,2132
Acot2,1043,892,953,875,894,900,989,945
Acot7,37,17,38,22,23,27,16,15
Acot9,34,29,22,35,27,31,25,44
Acox1,404,259,332,534,502,454,460,511
Acox3,1871,1658,1883,1705,1632,1619,1909,1808
Acp1,423,401,471,282,241,267,209,228
Acp2,948,746,940,694,729,621,947,923
Acp6,1679,1617,1792,1616,1640,1527,1987,2055
Acpp,316,381,421,193,138,183,255,260
Acsbg1,30,27,27,46,61,55,39,55
Acsf3,237,403,376,62,69,92,122,93
Acsl4,2799,3236,3852,1812,1833,1643,1874,1786
Acsl5,163,283,363,313,218,195,107,98
Acsl6,5,4,4,3,7,1,3,4
Acsm5,1372,1362,1453,1273,1268,1213,1199,1237
Acss1,1440,1666,1791,1995,1971,1896,1600,1540
Acss2,439,391,495,199,190,164,240,296
Acss3,372,299,379,252,252,240,338,327
Acta1,5,5,3,11,6,3,1,0
Actb,11,12,16,20,18,26,6,18
Actc1,996,923,996,1111,1199,1067,1210,1322
Actg2,1724,1638,1932,1067,1025,991,1353,1388
Actl6a,87,30,48,49,52,79,65,49
Actl7b,478,265,353,151,162,136,141,180
Actn1,2445,2364,2809,2333,2289,2526,2754,2641
Actn3,1357,1491,1701,1417,1587,1481,1341,1235
Actn4,1598,1648,1853,1887,1828,1733,1739,1783
Actr10,666,766,995,902,556,659,496,678
Actr1b,26,24,18,16,15,11,14,10
Actr2,1765,1481,1616,1848,1839,1235,1289,1708
Acvr1,4239,3962,3970,5979,6142,6267,5852,5409
Acvr1b,581,659,739,474,395,417,629,638
